"Job","PO","Name","Line","Description","Part Num","Supplier Qty","Promise Date","Due Date","UOM","Supplier UOM","Buyer ID","CommentText"
"",706189,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
